payment_year,diagnosis_code,age_at_diag_min,age_at_diag_max,age_last_min,age_last_max,sex,hhs_hcc
2023,D03111,NA,NA,NA,NA,NA,13
2023,D03112,NA,NA,NA,NA,NA,13
2023,D03121,NA,NA,NA,NA,NA,13
2023,D03122,NA,NA,NA,NA,NA,13
2023,D0320,NA,NA,NA,NA,NA,13
2023,D0321,NA,NA,NA,NA,NA,13
2023,D0322,NA,NA,NA,NA,NA,13
2023,D0330,NA,NA,NA,NA,NA,13
2023,D0339,NA,NA,NA,NA,NA,13
2023,D034,NA,NA,NA,NA,NA,13
2023,D0351,NA,NA,NA,NA,NA,13
2023,D0352,NA,NA,NA,NA,NA,13
2023,D0359,NA,NA,NA,NA,NA,13
2023,D0360,NA,NA,NA,NA,NA,13
2023,D0361,NA,NA,NA,NA,NA,13
2023,D0362,NA,NA,NA,NA,NA,13
2023,D0370,NA,NA,NA,NA,NA,13
2023,D0371,NA,NA,NA,NA,NA,13
2023,D0372,NA,NA,NA,NA,NA,13
2023,D038,NA,NA,NA,NA,NA,13
2023,D039,NA,NA,NA,NA,NA,13
2023,D151,NA,NA,NA,NA,NA,10
2023,D1802,NA,NA,NA,NA,NA,12
2023,D320,NA,NA,NA,NA,NA,12
2023,D321,NA,NA,NA,NA,NA,12
2023,D329,NA,NA,NA,NA,NA,12
2023,D330,NA,NA,NA,NA,NA,12
2023,D331,NA,NA,NA,NA,NA,12
2023,D332,NA,NA,NA,NA,NA,12
2023,D333,NA,NA,NA,NA,NA,12
2023,D334,NA,NA,NA,NA,NA,12
2023,D337,NA,NA,NA,NA,NA,12
2023,D339,NA,NA,NA,NA,NA,12
2023,D352,NA,NA,NA,NA,NA,12
2023,D353,NA,NA,NA,NA,NA,12
2023,D354,NA,NA,NA,NA,NA,12
2023,D420,NA,NA,NA,NA,NA,12
2023,D421,NA,NA,NA,NA,NA,12
2023,D429,NA,NA,NA,NA,NA,12
2023,D430,NA,NA,NA,NA,NA,12
2023,D431,NA,NA,NA,NA,NA,12
2023,D432,NA,NA,NA,NA,NA,12
2023,D433,NA,NA,NA,NA,NA,12
2023,D434,NA,NA,NA,NA,NA,12
2023,D438,NA,NA,NA,NA,NA,12
2023,D439,NA,NA,NA,NA,NA,12
2023,D443,NA,NA,NA,NA,NA,12
2023,D444,NA,NA,NA,NA,NA,12
2023,D445,NA,NA,NA,NA,NA,12
2023,D446,NA,NA,NA,NA,NA,12
2023,D447,NA,NA,NA,NA,NA,12
2023,D45,NA,NA,NA,NA,NA,75
2023,D460,NA,NA,NA,NA,NA,67
2023,D461,NA,NA,NA,NA,NA,67
2023,D4620,NA,NA,NA,NA,NA,67
2023,D4621,NA,NA,NA,NA,NA,67
2023,D4622,NA,NA,NA,NA,NA,67
2023,D464,NA,NA,NA,NA,NA,67
2023,D469,NA,NA,NA,NA,NA,67
2023,D46A,NA,NA,NA,NA,NA,67
2023,D46B,NA,NA,NA,NA,NA,67
2023,D46C,NA,NA,NA,NA,NA,67
2023,D46Z,NA,NA,NA,NA,NA,67
2023,D471,NA,NA,NA,NA,NA,75
2023,D473,NA,NA,NA,NA,NA,75
2023,D474,NA,NA,NA,NA,NA,67
2023,D479,NA,NA,NA,NA,NA,75
2023,D47Z1,NA,NA,NA,NA,NA,67
2023,D47Z2,NA,NA,NA,NA,NA,75
2023,D47Z9,NA,NA,NA,NA,NA,75
2023,D496,NA,NA,NA,NA,NA,12
2023,D561,NA,NA,NA,NA,NA,71
2023,D562,NA,NA,NA,NA,NA,71
2023,D565,NA,NA,NA,NA,NA,71
2023,D5700,NA,NA,NA,NA,NA,70
2023,D5701,NA,NA,NA,NA,NA,70
2023,D5702,NA,NA,NA,NA,NA,70
2023,D5703,NA,NA,NA,NA,NA,70
2023,D5709,NA,NA,NA,NA,NA,70
2023,D571,NA,NA,NA,NA,NA,70
2023,D5742,NA,NA,NA,NA,NA,70
2023,D57431,NA,NA,NA,NA,NA,70
2023,D57432,NA,NA,NA,NA,NA,70
2023,D57433,NA,NA,NA,NA,NA,70
2023,D57438,NA,NA,NA,NA,NA,70
2023,D57439,NA,NA,NA,NA,NA,70
2023,D590,NA,NA,NA,NA,NA,69
2023,D5910,NA,NA,NA,NA,NA,69
2023,D5911,NA,NA,NA,NA,NA,69
2023,D5912,NA,NA,NA,NA,NA,69
2023,D5913,NA,NA,NA,NA,NA,69
2023,D5919,NA,NA,NA,NA,NA,69
2023,D592,NA,NA,NA,NA,NA,69
2023,D5930,NA,NA,NA,NA,NA,69
2023,D5931,NA,NA,NA,NA,NA,69
2023,D5932,NA,NA,NA,NA,NA,69
2023,D5939,NA,NA,NA,NA,NA,69
2023,D594,NA,NA,NA,NA,NA,69
