payment_year,hcpcs_cpt_code,included_flag
2023,15941,yes
2023,15944,yes
2023,15945,yes
2023,15946,yes
2023,15950,yes
2023,15951,yes
2023,15952,yes
2023,15953,yes
2023,15956,yes
2023,15958,yes
2023,15999,yes
2023,16000,yes
2023,16020,yes
2023,16025,yes
2023,16030,yes
2023,16035,yes
2023,17000,yes
2023,17004,yes
2023,17106,yes
2023,17107,yes
2023,17108,yes
2023,17110,yes
2023,17111,yes
2023,17250,yes
2023,17260,yes
2023,17261,yes
2023,17262,yes
2023,17263,yes
2023,17264,yes
2023,17266,yes
2023,17270,yes
2023,17271,yes
2023,17272,yes
2023,17273,yes
2023,17274,yes
2023,17276,yes
2023,17280,yes
2023,17281,yes
2023,17282,yes
2023,17283,yes
2023,17284,yes
2023,17286,yes
2023,17311,yes
2023,17313,yes
2023,17340,yes
2023,17360,yes
2023,17380,yes
2023,17999,yes
2023,19000,yes
2023,19020,yes
2023,19105,yes
2023,19110,yes
2023,19112,yes
2023,19120,yes
2023,19125,yes
2023,19296,yes
2023,19298,yes
2023,19300,yes
2023,19301,yes
2023,19302,yes
2023,19303,yes
2023,19305,yes
2023,19306,yes
2023,19307,yes
2023,19316,yes
2023,19318,yes
2023,19325,yes
2023,19328,yes
2023,19330,yes
2023,19340,yes
2023,19342,yes
2023,19350,yes
2023,19355,yes
2023,19357,yes
2023,19361,yes
2023,19364,yes
2023,19367,yes
2023,19368,yes
2023,19369,yes
2023,19370,yes
2023,19371,yes
2023,19380,yes
2023,19396,yes
2023,19499,yes
2023,20100,yes
2023,20101,yes
2023,20102,yes
2023,20103,yes
2023,20150,yes
2023,20500,yes
2023,20520,yes
2023,20525,yes
2023,20526,yes
2023,20527,yes
2023,20550,yes
2023,20551,yes
2023,20552,yes
2023,20553,yes
2023,20555,yes
2023,20560,yes
2023,20561,yes
2023,20600,yes
2023,20604,yes
2023,20605,yes
2023,20606,yes
2023,20610,yes
2023,20611,yes
2023,20612,yes
2023,20615,yes
2023,20650,yes
2023,20660,yes
2023,20661,yes
2023,20662,yes
2023,20663,yes
2023,20664,yes
2023,20665,yes
2023,20670,yes
2023,20680,yes
2023,20690,yes
2023,20692,yes
2023,20693,yes
2023,20694,yes
2023,20696,yes
2023,20697,yes
2023,20802,yes
2023,20805,yes
2023,20808,yes
2023,20816,yes
2023,20822,yes
2023,20824,yes
2023,20827,yes
2023,20838,yes
2023,20910,yes
2023,20912,yes
2023,20920,yes
2023,20922,yes
2023,20924,yes
2023,20950,yes
2023,20955,yes
2023,20956,yes
2023,20957,yes
2023,20962,yes
2023,20969,yes
2023,20970,yes
2023,20972,yes
2023,20973,yes
2023,20974,yes
2023,20975,yes
2023,20979,yes
2023,20982,yes
2023,20983,yes
2023,20999,yes
2023,21010,yes
2023,21011,yes
2023,21012,yes
2023,21013,yes
2023,21014,yes
2023,21015,yes
2023,21016,yes
2023,21025,yes
2023,21026,yes
2023,21029,yes
2023,21030,yes
2023,21031,yes
2023,21032,yes
2023,21034,yes
2023,21040,yes
2023,21044,yes
2023,21045,yes
2023,21046,yes
2023,21047,yes
2023,21048,yes
2023,21049,yes
2023,21050,yes
2023,21060,yes
2023,21070,yes
2023,21073,yes
2023,21076,yes
2023,21077,yes
2023,21079,yes
2023,21080,yes
2023,21081,yes
2023,21082,yes
2023,21083,yes
2023,21084,yes
2023,21085,yes
2023,21086,yes
2023,21087,yes
2023,21088,yes
2023,21089,yes
2023,21100,yes
2023,21110,yes
2023,21120,yes
2023,21121,yes
2023,21122,yes
2023,21123,yes
2023,21125,yes
2023,21127,yes
2023,21137,yes
2023,21138,yes
2023,21139,yes
2023,21141,yes
2023,21142,yes
2023,21143,yes
2023,21145,yes
2023,21146,yes
2023,21147,yes
2023,21150,yes
2023,21151,yes
2023,21154,yes
2023,21155,yes
2023,21159,yes
2023,21160,yes
2023,21172,yes
2023,21175,yes
2023,21179,yes
2023,21180,yes
2023,21181,yes
2023,21182,yes
2023,21183,yes
2023,21184,yes
2023,21188,yes
2023,21193,yes
2023,21194,yes
2023,21195,yes
2023,21196,yes
2023,21198,yes
2023,21199,yes
2023,21206,yes
2023,21208,yes
2023,21209,yes
2023,21210,yes
2023,21215,yes
2023,21235,yes
2023,21240,yes
2023,21242,yes
2023,21243,yes
2023,21244,yes
2023,21245,yes
2023,21246,yes
2023,21247,yes
2023,21248,yes
2023,21249,yes
2023,21255,yes
2023,21256,yes
2023,21260,yes
2023,21261,yes
2023,21263,yes
2023,21267,yes
2023,21268,yes
2023,21270,yes
2023,21275,yes
2023,21280,yes
2023,21282,yes
2023,21295,yes
2023,21296,yes
2023,21299,yes
2023,21315,yes
